company_id,type,rule_id,text,confidence_pct
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,74
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
BAJAJHLDNG,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,87
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71
BAJFINANCE,con,CON_01,Debt-to-equity ratio of 3.82 is elevated for a non-financial company and warrants monitoring,100
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
BANKBARODA,con,CON_01,Debt-to-equity ratio of 12.14 is elevated for a non-financial company and warrants monitoring,100
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
BEL,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,82
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,97
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,95
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,88
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80
BHEL,pro,PRO_FALLBACK,Financial profile shows at least one positive business-quality signal based on the available financial data,61
BOSCHLTD,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
BOSCHLTD,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
BPCL,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,87
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71
BRITANNIA,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,81
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74
CANBK,con,CON_01,Debt-to-equity ratio of 14.87 is elevated for a non-financial company and warrants monitoring,100
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
CANBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
CANBK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
CHOLAFIN,con,CON_01,Debt-to-equity ratio of 6.86 is elevated for a non-financial company and warrants monitoring,100
CHOLAFIN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CHOLAFIN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
CHOLAFIN,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,81
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71
CIPLA,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
CIPLA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
COALINDIA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79
COALINDIA,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83
DABUR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71
DIVISLAB,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,79
DLF,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
DLF,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71
DMART,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
DMART,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
DRREDDY,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
DRREDDY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
EICHERMOT,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
EICHERMOT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
GAIL,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,84
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year,95
GODREJCP,pro,PRO_FALLBACK,Financial profile shows at least one positive business-quality signal based on the available financial data,61
GRASIM,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
GRASIM,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79
HAL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,77
HAL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
HAL,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71
HAVELLS,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HAVELLS,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71
HCLTECH,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,73
HDFCBANK,con,CON_01,Debt-to-equity ratio of 6.81 is elevated for a non-financial company and warrants monitoring,100
HDFCBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
HDFCBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,72
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
HDFCBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,74
HDFCBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70
HDFCLIFE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,73
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HINDALCO,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
HINDUNILVR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HINDUNILVR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
ICICIBANK,con,CON_01,Debt-to-equity ratio of 6.45 is elevated for a non-financial company and warrants monitoring,100
ICICIBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
ICICIBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
ICICIBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,74
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
ICICIBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71
ICICIGI,con,CON_FALLBACK,Financial profile has at least one area requiring monitoring based on the available financial data,61
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ICICIGI,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71
ICICIPRULI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
INDIGO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
INDIGO,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
INDIGO,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
INDIGO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
INDIGO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
INDUSINDBK,con,CON_01,Debt-to-equity ratio of 6.89 is elevated for a non-financial company and warrants monitoring,100
INDUSINDBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
INDUSINDBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INDUSINDBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,74
INDUSINDBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
INDUSINDBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77
INDUSINDBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
INDUSINDBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
INDUSINDBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
INFY,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INFY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
INFY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
INFY,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80
INFY,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
